날짜,요일,홈팀,원정팀,장소,관중 수
2022-04-02,토,키움,롯데,고척,8257
2022-04-03,일,키움,롯데,고척,6115
2022-04-05,화,키움,LG,고척,2298
2022-04-06,수,키움,LG,고척,2304
2022-04-07,목,키움,LG,고척,2055
2022-04-12,화,키움,NC,고척,774
2022-04-13,수,키움,NC,고척,893
2022-04-14,목,키움,NC,고척,1020
2022-04-22,금,키움,KIA,고척,4289
2022-04-23,토,키움,KIA,고척,8338
2022-04-24,일,키움,KIA,고척,7406
2022-04-29,금,키움,KT,고척,1770
2022-04-30,토,키움,KT,고척,4075
2022-05-01,일,키움,KT,고척,3213
2022-05-06,금,키움,SSG,고척,4627
2022-05-07,토,키움,SSG,고척,5637
2022-05-08,일,키움,SSG,고척,4765
2022-05-10,화,키움,두산,고척,3564
2022-05-11,수,키움,두산,고척,2641
2022-05-12,목,키움,두산,고척,2649
2022-05-20,금,키움,한화,고척,3080
2022-05-21,토,키움,한화,고척,6689
2022-05-22,일,키움,한화,고척,5330
2022-05-31,화,키움,삼성,고척,4100
2022-06-01,수,키움,삼성,고척,7181
2022-06-02,목,키움,삼성,고척,2477
2022-06-07,화,키움,KT,고척,1904
2022-06-08,수,키움,KT,고척,1342
2022-06-09,목,키움,KT,고척,1414
2022-06-14,화,키움,두산,고척,2536
2022-06-15,수,키움,두산,고척,2062
2022-06-16,목,키움,두산,고척,2349
2022-06-17,금,키움,LG,고척,4608
2022-06-18,토,키움,LG,고척,8705
2022-06-19,일,키움,LG,고척,7849
2022-06-28,화,키움,KIA,고척,7388
2022-06-29,수,키움,KIA,고척,7941
2022-06-30,목,키움,KIA,고척,7165
2022-07-01,금,키움,한화,고척,3238
2022-07-02,토,키움,한화,고척,6692
2022-07-03,일,키움,한화,고척,5952
2022-07-08,금,키움,NC,고척,2500
2022-07-09,토,키움,NC,고척,4459
2022-07-10,일,키움,NC,고척,4419
2022-07-22,금,키움,삼성,고척,4776
2022-07-23,토,키움,삼성,고척,7057
2022-07-24,일,키움,삼성,고척,6897
2022-08-02,화,키움,SSG,고척,6941
2022-08-03,수,키움,SSG,고척,7573
2022-08-04,목,키움,SSG,고척,6064
2022-08-10,수,키움,롯데,고척,4352
2022-08-11,목,키움,롯데,고척,4515
2022-08-12,금,키움,롯데,고척,4710
2022-08-20,토,키움,SSG,고척,7439
2022-08-21,일,키움,SSG,고척,7183
2022-08-23,화,키움,KIA,고척,6637
2022-08-24,수,키움,KIA,고척,8175
2022-08-30,화,키움,롯데,고척,4381
